R_fighter;B_fighter;date;location;Winner;title_bout;weight_class;no_of_rounds;B_current_lose_streak;B_current_win_streak;B_longest_win_streak;B_losses;B_total_rounds_fought;B_total_title_bouts;B_win_by_Decision_Majority;B_win_by_Decision_Split;B_win_by_Decision_Unanimous;B_win_by_KO/TKO;B_win_by_Submission;B_win_by_TKO_Doctor_Stoppage;B_wins;B_Height_cms;B_Reach_cms;B_Weight_lbs;R_current_lose_streak;R_current_win_streak;R_longest_win_streak;R_losses;R_total_rounds_fought;R_total_title_bouts;R_win_by_Decision_Majority;R_win_by_Decision_Split;R_win_by_Decision_Unanimous;R_win_by_KO/TKO;R_win_by_Submission;R_win_by_TKO_Doctor_Stoppage;R_wins;R_Height_cms;R_Reach_cms;R_Weight_lbs;B_age;R_age;B_color;R_color;B_Stance_Open Stance;B_Stance_Orthodox;B_Stance_Sideways;B_Stance_Southpaw;B_Stance_Switch;R_Stance_Open Stance;R_Stance_Orthodox;R_Stance_Southpaw;R_Stance_Switch;R_Stance_Sideways
Dan Ige;Gavin Tucker;2021-03-13;Las Vegas, Nevada, USA;1;0;Featherweight;3;0;1;3;1;15;0;0;0;2;0;2;0;4;167.64;167.64;145.0;1;0;6;2;22;0;0;2;2;1;1;0;6;170.18;180.34;145.0;34.0;29.0;0;1;0;0;0;1;0;0;1;0;0;0
Thiago Santos;Aleksandar Rakic;2021-03-06;Las Vegas, Nevada, USA;0;0;LightHeavyweight;3;0;4;4;1;14;0;0;0;3;2;0;0;5;193.04;198.12;205.0;1;0;4;7;40;1;0;0;2;11;0;0;13;187.96;193.04;205.0;29.0;37.0;0;1;0;1;0;0;0;0;1;0;0;0
Arman Tsarukyan;Matt Frevola;2021-01-23;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;Lightweight;3;2;0;2;2;10;0;0;1;1;0;0;0;2;175.26;180.34;155.0;1;0;2;1;9;0;0;0;2;0;0;0;2;170.18;182.88;155.0;30.0;24.0;0;1;0;1;0;0;0;0;1;0;0;0
Bobby Green;Thiago Moises;2020-10-31;Las Vegas, Nevada, USA;0;0;Lightweight;3;1;0;1;2;11;0;0;0;1;0;1;0;2;175.26;177.8;155.0;0;4;4;6;38;0;0;1;5;1;1;0;8;177.8;180.34;155.0;25.0;34.0;0;1;0;1;0;0;0;0;1;0;0;0
Katlyn Chookagian;Jessica Andrade;2020-10-17;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;WomenFlyweight;3;1;0;4;6;39;3;0;1;5;3;2;0;11;154.94;157.48;115.0;0;1;3;3;30;1;0;1;6;0;0;0;7;175.26;172.72;125.0;29.0;31.0;0;1;0;1;0;0;0;0;1;0;0;0
Loma Lookboonmee;Jinh Yu Frey;2020-10-03;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;WomenStrawweight;3;1;0;0;1;3;0;0;0;0;0;0;0;0;160.02;165.1;115.0;0;1;1;1;6;0;0;1;0;0;0;0;1;154.94;154.94;115.0;35.0;24.0;0;1;0;0;0;1;0;0;1;0;0;0
Alessio Di Chirico;Zak Cummings;2020-08-29;Las Vegas, Nevada, USA;0;0;Middleweight;3;0;2;2;4;28;0;0;0;3;1;4;0;8;182.88;190.5;185.0;1;0;2;4;18;0;0;2;0;1;0;0;3;182.88;187.96;185.0;36.0;30.0;0;1;0;0;0;1;0;0;1;0;0;0
Petr Yan;Jose Aldo;2020-07-11;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;1;Bantamweight;5;0;7;7;5;51;11;0;0;6;4;0;0;10;170.18;177.8;135.0;0;6;6;0;15;0;0;0;3;3;0;0;6;170.18;170.18;135.0;33.0;27.0;0;1;0;1;0;0;0;0;0;0;1;0
Vicente Luque;Niko Price;2020-05-09;Jacksonville, Florida, USA;1;0;Welterweight;3;0;1;2;4;15;0;0;0;0;4;2;0;6;182.88;193.04;170.0;1;0;6;3;25;0;0;1;0;6;3;0;10;180.34;190.5;170.0;30.0;28.0;0;1;0;1;0;0;0;0;1;0;0;0
Amanda Ribas;Randa Markos;2020-03-14;Brasilia, Distrito Federal, Brazil;1;0;WomenStrawweight;3;1;0;1;7;35;0;0;2;3;0;1;0;6;162.56;160.02;115.0;0;2;2;0;5;0;0;0;1;0;1;0;2;160.02;167.64;125.0;34.0;26.0;0;1;0;1;0;0;0;0;1;0;0;0
